,0
0,{}
1,{}
2,"{'re': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.03489397477797764), ('this', 0.0433236414148623), ('study', 0.04032979785001827), (',', 0.009873115029784005), ('we', 0.03870954648884963), ('have', 0.034699169186635036), ('evaluated', 0.032055156339755676), ('the', 0.040046904176974325), ('inhibitor', 0.03661370379468399), ('##y', 0.02704112442515523), ('effect', 0.029119447130857602), ('of', 0.0027847624905269833), ('u', 0.004807562348175496), ('##ft', 0.04724887596791985), ('against', 0.16502921290675207), ('re', -0.059109581100315146), ('##nc', 0.05867815114484694), ('##a', 0.22787739911140206), ('cell', 0.915589641763146), ('-', 0.17151785484263904), ('induced', 0.14472636972533293), ('an', 0.003107807361017439), ('##gio', 0.04178356915233946), ('##genesis', 0.008106531673070893), ('by', 0.0035842093627961496), ('a', 0.022520549543044357), ('dorsal', 0.02763569640631976), ('air', 0.040818276187564076), ('sa', 0.013095962277868014), ('##c', 0.06079850608049633), ('ass', 0.0334235850440659), ('##ay', 0.010589357740437068), ('.', 0.005294800881452919), ('[SEP]', 0.0)]}}"
3,"{'re': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('marked', -0.004869530312607919), ('an', -0.0037151769053600007), ('##gio', 0.0994688089436016), ('##genesis', -0.0365340474706851), ('is', 0.04343919307124224), ('induced', 0.12908247072677614), ('by', 0.03215697139990798), ('imp', 0.032232514016243975), ('##lant', 0.04143943514154156), ('##ation', 0.01989735462937594), ('of', 0.11222172211909048), ('a', 0.027572313160301027), ('chamber', -0.060793058215725726), ('containing', 0.20389813063587786), ('re', -0.21151408076933115), ('##nc', 0.3105078641457388), ('##a', 0.794497750410499), ('cells', 0.36400783201872633), ('into', -0.040176064546149165), ('mice', 0.02785173424712947), ('.', -0.010127984249544867), ('[SEP]', 0.0)]}}"
4,{}
5,{}
6,{}
7,{}
8,{}
9,{}
10,{}
11,{}
12,{}
13,{}
14,{}
15,{}
16,{}
17,{}
18,{}
19,{}
20,{}
21,{}
