,0
0,{}
1,"{'t': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.0023006171633049364), ('il', 0.01159814691403979), ('##p', 0.02844782528685543), (',', 0.04076051888916868), ('reduced', 0.0030831747597172723), ('t', 0.27874743017592873), ('##umour', 0.7545328031568665), ('growth', 0.5819614615316748), ('was', 0.04952740956828811), ('observed', 0.038934264646173875), ('when', 0.05757830359129856), ('l', 0.03708924623938181), ('-', 0.00711555836626563), ('name', -0.003316223554715801), ('was', 0.043330531965857455), ('used', 0.022081026416329932), ('alone', 0.023895921122128235), ('.', 0.004847387342743966), ('[SEP]', 0.0)]}}"
2,{}
3,"{'solid': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.011486568252316792), ('contrast', 0.00795410585032523), (',', 0.008654785477876722), ('multi', 0.024482530002251236), ('##cellular', 0.00992225752553774), ('s', 0.029031718275483686), ('##pher', 0.016711960722266), ('##oids', 0.07462081400061116), ('mimic', -3.948993268468139e-05), ('he', 0.012201949342740059), ('##tero', 0.0230255140249955), ('##gene', 0.02715740017557794), ('##ous', 0.015018539355231833), ('cellular', 0.010159110732240004), ('behavior', 0.027508252826483275), ('and', 0.008869162549607174), ('the', 0.012786480065975119), ('con', 0.018403859918900957), ('##se', 0.009814336207891506), ('##quent', 0.012203312152092166), ('functional', 0.019646290405235075), ('characteristics', -0.0018699071364107571), ('of', 0.007968930989154037), ('in', 0.055245209832653915), ('v', 0.009182449647000856), ('##ivo', 0.007975399562016103), ('solid', 0.1762864553266154), ('tumors', 0.9657455181321442), (',', 0.08884059467790248), ('and', 0.02839165576643603), ('serve', -0.009459878046913756), ('as', 0.026544653834532177), ('important', 0.007899798464528993), ('in', 0.017757433183293106), ('v', 0.016578462194060034), ('##it', 0.02036534901250096), ('##ro', 0.012858053256087925), ('model', 0.016306495284279833), ('to', 0.014037667036973704), ('investigate', -0.006558911325693814), ('tumor', 0.09816875707683144), ('biology', 0.007285890834252581), ('and', 0.010229681128860585), ('responses', 0.007619919374228908), ('to', 0.012430256644589292), ('potential', 0.006628984848754047), ('therapeutic', 0.015247065219609163), ('agents', 0.010117462179013586), ('.', 0.0012512268403686371), ('[SEP]', 0.0)]}, 'tumor': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.013426256503261763), ('contrast', 0.008325943350975864), (',', 0.013023561319687614), ('multi', 0.023786708979607805), ('##cellular', 0.013929633346161336), ('s', 0.039055049925840746), ('##pher', 0.025227833282411228), ('##oids', 0.0975321989165232), ('mimic', 0.012431591402897584), ('he', 0.021175905094164827), ('##tero', 0.025716540680890698), ('##gene', 0.028944435178573116), ('##ous', 0.03575693507397374), ('cellular', 0.022923847974475685), ('behavior', 0.029494769861912764), ('and', 0.025369899871448078), ('the', 0.024801079349798298), ('con', 0.03091166125180651), ('##se', 0.01792187644619405), ('##quent', 0.021864052541093897), ('functional', 0.02791311382371766), ('characteristics', 0.009889039534450274), ('of', 0.019147238257356276), ('in', 0.028882882276121027), ('v', 0.007921297296827232), ('##ivo', 0.024827514624405515), ('solid', 0.023299897753759853), ('tumors', 0.23691627748632804), (',', 0.04343229955605959), ('and', 0.018043165228633848), ('serve', -0.010513567920891054), ('as', 0.024060148045078424), ('important', 0.016667647786927326), ('in', 0.021074466024407306), ('v', 0.026829978632040244), ('##it', 0.031931306971903134), ('##ro', 0.031064179478785998), ('model', 0.012615927343660759), ('to', 0.025836180353963727), ('investigate', -0.004468570244132823), ('tumor', 0.9423456290918973), ('biology', 0.133492188170048), ('and', 0.07596364868050336), ('responses', 0.007808761632980462), ('to', 0.028006461892808636), ('potential', 0.0021105988412315735), ('therapeutic', 0.010540299206751634), ('agents', 0.013580107219915805), ('.', -0.0015426170736577486), ('[SEP]', 0.0)]}}"
4,{}
5,{}
6,{}
7,{}
8,"{'lung': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('thus', 0.040464094331041034), (',', 0.005709158792500646), ('our', 0.027799334318285823), ('data', 0.039192542896858064), ('show', 0.03237124681769653), ('that', 0.016645372677667466), ('all', 0.020872382720997576), ('##ergic', 0.03649280905307938), ('respiratory', 0.07254241991040848), ('inflammation', 0.08431443726659292), ('may', 0.0397095176320906), ('represent', 0.01432318608016245), ('a', -0.009605051205053424), ('risk', 0.05428449361298631), ('factor', 0.05362705278445108), ('for', 0.07683298033688657), ('the', 0.019338340899798436), ('development', 0.14950056272083534), ('of', 0.20217110245415737), ('lung', 0.12041827411772522), ('meta', 0.6195575644313098), ('##sta', 0.3586688811094245), ('##ses', 0.5328183167064655), ('and', 0.0791927690556287), ('suggest', 0.10507683280095681), ('that', 0.04610635647726822), ('am', 0.052416226210275814), ('##eli', 0.06932131007117535), ('##oration', 0.0565512858884944), ('of', 0.034759008297239324), ('the', 0.04865815640683427), ('pulmonary', 0.03246394579142675), ('inflammation', 0.039155926459177835), ('associated', 0.07479496842720947), ('with', 0.019449900026493574), ('as', 0.011069294754754079), ('##th', -0.022273493274144476), ('##ma', 0.019821168278045146), ('will', 0.05237502014525643), ('have', 0.03390848246916031), ('a', 0.053383281894218114), ('direct', 0.04297046611276371), ('and', 0.0052976080696219814), ('immediate', 0.06394134719840099), ('benefit', 0.12147858941429476), ('to', 0.019459114514183758), ('the', 0.014229145556866891), ('7', -0.04684365945223389), ('%', -0.018651094966345864), ('to', -0.029975070375330322), ('8', -0.011340813581155192), ('%', -0.013675949367536237), ('of', 0.007241817697597229), ('breast', -0.10089066712023416), ('cancer', -0.038872200012577324), ('patients', 0.023761554390515534), ('with', 0.005115402176436342), ('this', 0.04084685011089486), ('lung', 0.03966527385506733), ('disease', 0.0345678181866694), ('.', -0.02371365236438662), ('[SEP]', 0.0)]}, 'breast': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('thus', 0.0008466000724099542), (',', 0.0018911102680605153), ('our', 0.0034228372899995554), ('data', 0.004080081821553621), ('show', 6.963112287950372e-05), ('that', 0.002866160280696236), ('all', 0.011217255500725878), ('##ergic', 0.00417832066172382), ('respiratory', 0.010287108940331264), ('inflammation', 0.013086972968455035), ('may', 0.0016619213096569956), ('represent', -0.00740392773824418), ('a', 0.0018102966524540017), ('risk', 0.004249504286741526), ('factor', 0.009366333707343685), ('for', -0.000221212468518587), ('the', -0.002754072982020632), ('development', 0.006202461975188296), ('of', 0.006497101293308066), ('lung', -0.008873590549351393), ('meta', 0.02344446297412436), ('##sta', 0.007491175174330247), ('##ses', 0.0073670369692395475), ('and', -0.0010102186072571075), ('suggest', 0.0037486925932323175), ('that', 0.007191567787800127), ('am', 0.010144076958813192), ('##eli', -0.008897004005712535), ('##oration', -1.2512752836922086e-05), ('of', 0.005680072424230029), ('the', -0.007365734407421549), ('pulmonary', -0.013367692154466197), ('inflammation', 0.011832427722006426), ('associated', 0.010652743508664027), ('with', 0.0013854527048665932), ('as', 0.01592482431998391), ('##th', 0.00468823503195772), ('##ma', 0.026259379411484096), ('will', 0.004657186089256405), ('have', 0.015965931715090958), ('a', 0.01998853662257314), ('direct', 0.007816299983475229), ('and', 0.005210279317436078), ('immediate', -0.00027147689531755923), ('benefit', 0.021831371548346773), ('to', 0.009525235769213101), ('the', 0.003905370254719116), ('7', 0.01824717929356442), ('%', 0.015394492304775059), ('to', 0.017121516919181956), ('8', -0.01980038386776093), ('%', 0.027627744227859644), ('of', 0.07820339643448929), ('breast', 0.4446713988340874), ('cancer', 0.8707132103433021), ('patients', 0.1356442829276137), ('with', 0.1092669771575091), ('this', 0.013899871469061402), ('lung', -0.0033027344179115395), ('disease', 0.02956475900622808), ('.', -0.0061775514243445715), ('[SEP]', 0.0)]}}"
9,"{'brain': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('the', 0.026085937501445916), ('study', 0.00946934446729594), ('population', 0.012438261364757085), ('comprised', -0.011127024325801472), ('23', 0.024889342766555727), ('patients', 0.033119257198005854), ('with', 0.02575997576545461), ('his', 0.024149920082852747), ('##top', 0.015023548603851206), ('##ath', 0.019289411800391863), ('##ological', 0.01827629717738323), ('##ly', -0.004052372474950694), ('proven', 0.021154019273075392), ('primary', 0.15344643985539783), ('brain', -0.042199648332449456), ('t', 0.21328188945940518), ('##umour', 0.8980857641587793), ('##s', 0.2590164102698893), (';', 0.0785676460883632), ('14', 0.00841334280168156), ('had', 0.027720282483964943), ('high', 0.014988799837965763), ('-', 0.006011534496134108), ('grade', 0.017623443453259825), ('g', 0.009316137533709518), ('##lio', 0.08154074700758901), ('##mas', 0.05175184793362838), (',', 0.027018340629720604), ('and', 0.015830703519746473), ('nine', 0.0057082817709354855), ('low', 0.010265978120095417), ('-', -0.002554670957326775), ('grade', 0.01820996438482738), ('brain', -0.04480135744326037), ('neo', 0.04900129872076067), ('##p', 0.042313700672247295), ('##las', 0.15343341639231206), ('##ms', 0.0434222631989601), ('.', 0.00699816065225909), ('[SEP]', 0.0)]}, 'high': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('the', 0.02393619305179041), ('study', 0.026720246484292193), ('population', 0.05313274125449496), ('comprised', -0.030994719124367923), ('23', 0.08468659311309273), ('patients', 0.036673909951204946), ('with', 0.03132260373497866), ('his', 0.03147196327269856), ('##top', 0.02968414879037031), ('##ath', 0.03743877762953791), ('##ological', 0.02983512301483242), ('##ly', 0.008560735403928594), ('proven', 0.035413361916972204), ('primary', 0.05933812313432259), ('brain', -0.005831228171848384), ('t', -0.0013988182270754544), ('##umour', 0.09632811602065851), ('##s', 0.00021026321250660905), (';', 0.018271172683110952), ('14', 0.21346381426128125), ('had', -0.0004422904769126258), ('high', 0.12581355744168923), ('-', 0.21929537389174258), ('grade', 0.6866634206614353), ('g', -0.2053410562637066), ('##lio', 0.17308186342519558), ('##mas', 0.37652627964850094), (',', -0.025963875787070673), ('and', 0.04260927326513506), ('nine', 0.012876497947475234), ('low', 0.1690369598794981), ('-', 0.057626639543364264), ('grade', 0.32982502732154867), ('brain', -0.02581746606836594), ('neo', 0.08235003560228982), ('##p', 0.06217494540883024), ('##las', 0.10778126558531825), ('##ms', 0.07450576320939188), ('.', 0.008192129456709074), ('[SEP]', 0.0)]}, 'low': {'label': 'B-Cancer', 'attribution_scores': [('[CLS]', 0.0), ('the', 0.03148324424315078), ('study', 0.04540233046541783), ('population', 0.030789714821153977), ('comprised', -0.01122706279065968), ('23', 0.05776187333621111), ('patients', 0.03444872216680123), ('with', 0.04536944165651255), ('his', 0.03526939022545095), ('##top', 0.03467065612688425), ('##ath', 0.03983536348688557), ('##ological', 0.03911762045249463), ('##ly', 0.016106734044191183), ('proven', 0.025575928035513205), ('primary', 0.05863652596575148), ('brain', 0.014026534643701682), ('t', 0.007027741263889289), ('##umour', 0.06151292101257135), ('##s', 0.018599539661684483), (';', 0.022255810104695725), ('14', 0.11775802853153167), ('had', -0.002880839565476079), ('high', 0.18381083584646704), ('-', 0.1096660475409686), ('grade', 0.34835691563861976), ('g', -0.09564918147835391), ('##lio', 0.04840030766852632), ('##mas', 0.14148011218560483), (',', -0.009107810728795898), ('and', 0.05770677394333906), ('nine', 0.09030690861733125), ('low', 0.20207658405690382), ('-', 0.07897973255360508), ('grade', 0.7007744594970571), ('brain', 0.04932060105193201), ('neo', 0.1551768610898598), ('##p', 0.13980156673356428), ('##las', 0.36099768913723435), ('##ms', 0.18883573248234226), ('.', 0.013995530910590082), ('[SEP]', 0.0)]}}"
